car,move
C,-1
G,-1
G,1
G,-1
H,-1
A,-1
B,-1
H,1
H,-1
B,1
H,1
L,-1
L,1
A,1
F,1
K,-1
K,1
K,-1
A,-1
A,1
A,-1
J,-1
B,-1
J,1
J,-1
K,1
F,-1
L,-1
B,1
L,1
L,-1
J,1
A,1
J,-1
I,1
I,-1
J,1
J,-1
L,1
F,1
I,1
A,-1
K,-1
I,1
H,1
E,1
K,1
G,-1
F,-1
E,-1
E,1
L,-2
J,-1
D,-1
D,1
J,1
J,-1
D,-1
J,1
L,2
L,-2
J,-2
E,2
E,-2
E,2
D,1
H,-1
D,-1
D,1
D,-1
I,-2
D,1
D,-1
D,1
D,-1
I,-1
I,1
I,-1
I,1
I,-1
H,1
E,-1
E,1
H,-1
I,1
I,-1
H,1
H,-1
I,1
D,1
D,-1
I,-1
H,1
E,-1
E,1
E,-2
E,2
E,-1
E,1
E,-2
J,1
J,-1
E,2
E,-2
E,2
H,-1
H,1
E,-2
J,2
L,1
L,-1
J,-1
J,1
L,1
J,1
L,1
X,1
F,1
E,2
F,1
K,-1
X,2
K,1
K,-1
G,1
K,1
B,-1
I,-1
X,1
