car,move
T,-1
B,1
U,4
B,-1
K,-1
F,2
U,-5
G,1
L,2
O,-1
E,1
T,3
E,-1
K,1
T,-2
F,-1
K,-1
N,-1
O,2
R,1
E,1
F,-1
L,-1
O,-2
T,-1
N,1
V,1
G,-1
U,1
S,-1
J,-2
V,3
T,1
F,2
T,-1
G,-1
L,-1
A,1
E,-4
R,-3
U,4
E,2
V,-1
U,-5
V,1
U,6
O,2
E,-3
U,-4
N,2
U,-1
V,-1
E,2
X,-1
N,1
V,2
U,1
A,-1
U,-2
E,1
X,-1
F,-1
G,3
F,-1
N,-1
X,1
U,2
N,1
B,1
G,-3
V,-4
U,-2
N,-1
U,3
B,-1
U,1
G,2
X,-1
G,-1
U,-3
X,1
U,5
G,-1
U,-4
V,4
B,1
U,-2
V,-3
U,6
V,3
G,3
A,1
U,-6
E,-1
F,1
U,1
N,1
B,-1
U,-1
X,-1
E,1
U,3
F,-1
E,-1
H,2
U,-2
F,3
U,2
H,-1
U,-2
F,-2
T,-1
F,-2
C,1
F,1
T,1
B,1
A,2
U,-1
A,2
H,1
A,-2
T,1
A,-3
U,1
I,-1
A,5
P,-2
F,1
A,-2
O,1
A,-3
U,2
H,1
P,1
A,1
U,-3
A,4
T,-2
H,2
A,-2
U,2
H,-3
N,-1
A,-1
U,2
A,3
E,1
G,-3
A,-3
U,-2
T,1
C,-1
I,-2
U,-2
G,1
F,-1
T,-1
G,-1
H,-2
F,1
U,4
H,5
E,-1
X,2
T,1
H,-1
X,-1
E,1
H,-1
V,-1
U,-1
F,-1
U,-3
A,-1
C,1
U,3
X,1
C,-1
F,1
E,-1
I,1
P,-1
E,1
P,1
H,1
V,-1
U,2
G,1
C,1
P,-1
V,1
U,-2
A,2
X,-1
U,-2
I,-1
A,-2
T,-1
N,1
H,-1
U,1
N,-1
U,2
A,3
H,2
I,2
O,-1
G,-1
P,1
F,-2
I,-3
A,-2
F,2
U,-1
A,3
V,1
T,1
C,1
U,-2
D,-1
V,-1
U,-1
B,1
A,-2
U,3
A,2
W,-1
B,-1
A,-4
P,-2
A,-1
X,2
