car,move
V,1
T,-1
U,1
K,1
M,1
U,-1
P,1
H,-1
W,-1
N,-1
P,-1
K,-1
Y,-1
N,1
H,1
I,-1
M,-1
T,1
H,-1
T,-1
V,-1
U,1
I,1
T,1
Q,1
Y,1
G,1
Y,-1
U,-1
J,1
C,-1
H,1
J,-1
Y,1
C,1
Q,-1
J,1
C,-1
J,-1
U,1
H,-1
J,1
Q,1
V,1
W,1
C,1
D,1
B,2
K,1
Q,-1
K,-1
V,-1
B,1
T,-1
H,1
T,1
C,-1
A,3
U,-1
I,-1
C,1
V,1
G,-1
A,-2
H,-1
V,-1
A,1
V,-1
U,2
K,1
A,-1
D,-1
G,1
C,-1
H,3
T,-1
W,-1
U,-1
A,-1
V,1
A,1
Y,-1
N,-1
A,-1
N,-1
O,-1
K,1
Y,1
Y,-1
M,-1
X,2
K,-1
I,1
G,1
U,-1
H,1
X,-1
N,-1
X,1
U,1
K,1
T,1
Q,-1
R,-1
U,-1
Q,-2
N,1
L,-1
A,1
G,-1
V,-1
X,-1
G,1
N,-1
U,2
X,1
D,1
O,-1
Y,1
O,-1
A,-1
N,1
A,2
R,1
T,-1
U,-1
V,-1
G,-1
Q,1
A,-1
U,1
N,-1
U,-1
V,3
W,1
V,-3
S,1
Z,-1
O,-1
Y,3
B,-1
O,1
G,2
K,2
Y,-1
O,1
Y,1
K,-1
Y,1
Z,1
B,1
Y,1
K,2
R,-1
G,-2
P,-2
U,1
G,2
P,2
Q,1
O,2
D,-1
T,1
Q,-2
H,-1
T,-1
A,-1
G,-2
O,-1
R,1
Q,3
W,-2
T,1
O,1
U,-1
W,2
Q,1
O,-1
G,2
O,-1
Q,-3
H,1
A,1
J,-1
O,1
X,4
S,-1
V,2
X,1
