car,move
AA,-2
AG,-1
A,-1
F,1
B,3
AK,-1
P,-1
B,-3
AQ,-1
AC,-1
B,3
AC,1
F,-1
AR,-1
AC,-2
AL,-1
AO,1
A,-1
AA,-1
R,1
AA,3
K,-1
B,-1
N,1
B,-2
AO,2
A,2
B,1
K,1
AL,1
AA,-1
B,2
AC,1
F,1
AH,1
G,2
AE,-1
C,-1
AQ,-1
A,-1
AE,1
B,-3
AA,-1
AC,-1
Q,-1
B,2
AA,1
AO,-1
AL,-1
J,-1
X,-1
B,-1
AE,-1
A,1
J,1
R,-2
AH,1
J,-1
AC,1
B,-1
AO,1
R,1
AA,1
R,-1
K,-1
AH,-1
R,1
AP,1
M,-1
J,1
P,1
A,1
T,-2
B,2
P,-1
AH,1
AQ,1
B,-1
U,1
AQ,-1
P,-1
G,-1
L,-1
J,2
AC,-1
A,-2
AI,-1
AQ,1
U,2
P,1
J,-3
AI,-2
X,1
AJ,1
AB,1
T,1
J,1
N,-1
U,-1
I,-1
AJ,-1
A,2
AB,-1
T,1
Y,1
N,2
W,1
AJ,1
AC,2
P,1
J,-1
M,1
AC,-1
AA,-1
Q,1
G,1
N,-1
M,-1
P,-1
G,-1
C,1
W,-1
A,-1
J,4
AJ,-1
G,1
AA,1
I,1
AI,1
AP,-1
AC,-1
AA,-1
A,1
T,-2
AI,1
Y,-1
AQ,-1
J,-2
AA,1
Y,1
AC,1
AA,1
N,1
P,-1
B,1
N,-1
P,1
N,1
R,-1
AI,-1
B,1
T,2
G,-1
W,1
J,-1
R,1
A,-1
AA,-2
N,-2
B,-2
U,1
J,3
G,-1
B,2
F,-1
T,-2
B,-3
AA,2
X,3
W,-1
U,-1
AO,-3
J,-1
B,2
A,-2
AR,1
AK,1
AQ,2
J,-3
AG,1
P,-1
J,1
B,-1
AA,1
J,3
Y,-1
AP,1
U,1
L,1
AC,1
A,2
AC,1
U,-2
B,-1
U,1
B,3
Y,1
AA,-2
AC,-1
R,-1
B,-2
H,-1
R,1
AG,-1
R,-1
AC,-1
AI,1
AP,-1
V,1
AC,2
AI,-1
R,1
AB,1
AI,1
P,1
R,-1
AO,1
AI,-1
AB,-1
I,-1
AQ,-1
H,3
AQ,1
V,-1
AB,1
V,1
R,1
AI,-1
V,-1
AA,1
AI,2
L,-1
B,-1
W,1
F,3
O,-1
X,1
N,-1
C,-1
X,1
J,-1
U,1
X,-3
P,-1
X,2
AE,1
X,2
AF,-1
F,-1
AE,1
N,2
AE,-2
X,1
G,2
AI,-1
AG,1
U,-1
H,-1
A,-1
T,2
J,-2
T,-2
AI,-1
J,-1
T,2
P,2
AA,-1
AI,2
AA,1
AG,-2
M,1
J,2
AI,-2
J,-1
AQ,-1
M,-1
X,1
C,1
U,1
AA,-2
M,1
AQ,1
B,1
AI,2
R,2
G,-1
J,1
E,-1
J,-2
X,-1
J,1
L,1
G,1
X,2
