car,move
L,1
AH,1
O,1
H,-1
P,2
AA,-1
AD,1
P,-1
AQ,-1
P,-1
K,1
P,2
AA,-2
H,2
P,-1
AB,-1
AA,2
P,-1
G,-1
AB,1
AL,-1
F,1
D,1
F,-1
AQ,1
P,1
AA,1
P,-1
A,-1
AQ,-1
AD,-1
F,1
B,-1
AH,-1
AJ,-1
J,-1
AH,2
H,-1
AD,1
AP,-1
H,1
P,2
H,-1
K,-1
AP,1
AH,-1
AL,1
E,1
AA,-1
AQ,1
C,1
AA,-1
AB,-1
AP,-1
AC,-2
K,1
AC,2
AA,2
AO,1
K,-1
C,-1
AC,-1
AG,1
AA,1
P,-1
AC,1
AL,-1
AA,-3
AM,-1
AC,-1
AD,-1
Q,-1
AK,-1
AA,2
Q,1
AO,-1
P,1
J,1
E,-1
AK,1
AD,1
F,-1
AK,-1
F,1
P,-1
AA,1
B,1
AC,-1
P,-1
AA,-2
B,-1
AG,-1
AQ,-2
AA,1
AO,2
K,1
B,1
AA,-1
AO,-1
AK,1
AO,-1
P,2
AQ,2
H,1
AC,2
F,-1
AM,1
H,-1
AH,1
AC,-3
G,1
AD,-1
AQ,-1
AI,-1
AC,1
AQ,-1
A,-2
AA,-1
AE,-1
AC,-1
H,1
AI,-1
AQ,2
AA,-3
B,-2
P,-2
A,-2
AI,1
AP,1
B,-1
AB,1
B,2
AI,-1
D,-1
AQ,-2
B,-2
AK,-1
AP,-1
P,2
AI,-1
B,2
AQ,2
O,-1
AE,1
AI,2
O,1
AG,1
AB,-1
K,-1
AI,-1
G,-1
AE,-1
D,1
F,1
K,1
AA,1
B,1
F,-1
B,-3
D,-1
AA,-1
B,2
F,1
E,1
Q,-1
F,1
AK,1
B,-1
E,1
B,1
AI,1
P,-2
AI,-1
B,1
AA,1
AI,2
AA,-1
R,-2
X,-2
K,-1
B,-2
I,-1
A,-1
P,1
K,1
AC,1
AH,-1
AA,-1
AO,1
AA,3
W,-1
X,1
AA,3
Q,1
AH,1
AI,-3
Q,-1
AC,1
AE,1
Y,-1
U,1
I,1
U,-1
B,2
AI,3
B,-2
AH,-2
J,-1
A,1
Q,1
H,-1
AM,-1
R,-1
AH,1
AM,1
K,-1
B,-1
J,1
P,1
J,-1
AD,1
Q,-1
K,1
AO,-1
AM,-1
U,1
P,-2
H,1
F,1
I,-1
AD,-1
AK,-1
B,1
R,2
AD,1
H,1
F,-1
K,-1
AA,-1
N,1
AA,1
R,-2
M,-1
R,1
AG,-1
AA,-1
H,-2
R,-1
J,1
AK,1
T,-2
AG,1
AA,1
J,-1
T,1
AG,-1
I,1
AG,1
H,1
J,1
AA,1
H,-1
K,1
AD,-1
R,1
AE,-1
Q,1
T,1
AC,1
C,1
H,1
P,2
AE,1
AM,1
AH,-1
M,1
B,1
AA,-5
AC,-1
AL,1
AA,-1
B,-2
AP,1
AA,4
AP,-1
N,-1
