car,move
G,-4
E,1
A,2
K,-1
N,-1
M,1
G,1
A,-1
K,-4
S,-5
J,-2
E,2
F,-1
M,-1
N,1
F,-2
E,-2
J,2
T,-2
Q,-2
J,-1
L,1
S,2
K,2
A,-1
K,-1
U,-2
L,1
M,-1
N,-2
O,-1
S,1
A,1
K,-1
V,-5
J,1
R,-1
S,-1
T,-1
V,-2
G,-1
M,1
L,-1
F,-1
O,1
N,2
B,2
S,1
G,1
L,-1
R,-1
U,5
U,1
V,1
A,1
B,-2
R,-1
U,-2
F,1
K,1
A,-2
S,-2
U,-4
B,2
N,1
S,1
U,2
V,-1
X,-1
T,1
U,4
A,1
B,-2
S,-1
U,-5
V,1
U,5
N,1
K,-1
S,2
G,-1
T,-1
V,-1
T,1
J,-2
F,-1
V,2
A,1
X,1
B,3
B,-1
G,1
N,-1
U,-1
V,-1
A,1
E,2
F,2
G,-1
U,-1
A,-2
U,2
V,1
X,-2
H,2
I,-1
K,1
P,-1
O,1
H,2
B,-1
U,-4
V,-2
I,-2
C,2
D,-1
P,-2
X,3
