car,move
J,1
K,1
I,-3
T,-1
U,1
U,-1
H,-1
I,1
N,-1
I,-1
O,-1
F,1
O,-1
W,-1
P,-2
U,1
V,1
T,1
P,1
F,-1
P,1
J,1
I,2
W,1
I,1
D,2
V,-1
K,-1
P,-1
G,1
T,-1
P,1
W,-1
I,-1
D,-2
J,-2
O,1
K,1
I,-1
U,-1
I,2
W,1
M,1
G,-1
V,1
W,-1
I,-1
K,1
V,-2
L,-1
V,-3
G,1
M,-1
Y,-1
S,1
V,1
T,1
K,1
V,-1
M,1
U,1
K,1
V,1
G,-1
O,1
N,1
T,-1
U,1
V,1
G,1
T,1
G,-1
K,1
H,1
Y,1
W,1
V,-1
U,-1
G,1
J,1
I,-2
Q,1
U,1
G,-1
I,2
M,-1
U,-1
V,1
G,1
K,-1
D,1
H,-1
M,1
C,-1
D,-1
H,1
W,-1
V,-3
M,-1
C,1
K,1
U,1
D,1
K,-1
H,-1
B,3
N,-1
V,1
W,1
D,-1
V,2
K,1
N,1
V,-2
H,3
G,-1
S,-1
U,-1
H,-1
M,-1
V,4
L,1
X,1
H,1
X,-1
N,-1
G,1
V,-1
M,1
V,2
G,-1
I,1
Q,-1
H,1
M,-1
N,1
X,1
A,2
V,-1
G,2
C,-1
L,-1
A,-2
J,-1
N,-2
X,6
