car,move
G,-1
K,-1
M,1
E,1
I,-1
S,-1
T,-1
I,1
U,-1
B,1
G,1
P,1
K,2
A,-1
M,1
S,-5
G,-1
F,-1
J,-1
G,1
K,-1
M,-2
E,-1
J,1
M,2
P,-1
S,5
U,1
T,1
S,-5
G,-3
D,2
C,-1
K,-1
T,-1
U,-1
P,1
K,2
S,-1
D,2
G,2
E,1
F,1
D,1
G,1
S,5
F,-1
C,-1
H,-2
J,-1
S,-1
J,1
E,-1
F,1
H,2
A,6
B,-1
F,-1
A,-1
E,3
I,-2
X,-1
N,-5
A,1
D,-1
C,1
S,1
X,1
I,2
B,1
D,1
E,-3
G,-1
H,-1
N,1
L,1
H,1
C,-1
G,1
I,1
J,-1
I,-1
Q,-1
A,-1
D,-1
G,-1
N,-1
D,1
H,-1
R,-1
O,1
J,2
X,6
