car,move
R,2
E,-1
AQ,1
B,1
V,-1
AQ,-1
A,-1
K,1
A,1
AC,1
AD,-2
W,2
E,1
R,-2
W,-1
R,1
Q,1
AR,-1
P,2
R,-2
K,-1
W,1
P,-2
AQ,-1
S,1
AD,1
P,1
AI,-2
R,2
AI,2
P,-1
M,-1
P,1
K,1
AD,-1
K,-1
AD,1
AI,-2
AD,-1
R,1
AC,-1
W,2
AQ,2
E,-2
L,-1
W,-1
J,-1
W,1
Q,1
P,-1
AD,2
P,1
AB,1
E,1
X,3
