car,move
F,-2
E,-1
B,3
A,-2
X,-2
A,-1
G,-3
H,-1
G,1
A,2
H,1
F,-2
H,-1
X,-1
B,-2
E,4
A,1
B,1
E,-1
B,1
H,1
E,1
G,2
X,3
B,-2
A,-1
B,2
F,3
A,1
X,-3
G,-2
E,-1
H,-1
B,-2
E,1
H,-2
E,-1
H,-1
A,-2
E,-1
H,3
E,1
H,1
E,1
A,-1
G,2
F,1
A,1
G,-3
B,2
A,-1
B,-3
D,-4
C,1
G,2
H,-2
B,1
A,4
G,-1
E,-2
C,2
A,-2
C,-3
H,1
H,1
A,-2
H,-2
C,1
E,1
C,2
B,1
A,4
B,-2
D,1
G,-1
H,1
C,-2
D,1
E,1
H,1
F,-1
H,-1
D,1
B,2
E,-1
B,1
C,1
B,-2
E,-1
H,-1
E,1
H,1
B,1
F,1
C,1
F,-1
H,-3
B,1
X,1
F,-3
X,-1
B,-2
E,-2
H,3
H,-2
E,1
B,-1
E,1
C,-2
H,3
D,-2
G,1
C,1
E,-1
G,-1
E,-2
H,-4
C,1
D,-1
B,3
G,3
X,4
