car,move
M,1
K,-1
G,-1
M,-1
K,1
G,1
A,1
M,2
S,-4
R,1
K,-1
B,1
A,-2
F,-1
S,-2
K,1
E,2
I,-1
S,4
G,-1
I,1
S,1
G,1
S,-1
E,1
I,-1
S,-1
M,-1
E,-2
I,1
S,-2
J,-1
O,-1
S,3
I,-1
G,-1
R,-1
I,1
S,2
K,-1
B,1
S,-1
G,1
O,1
M,1
K,1
S,-6
M,-1
K,-2
M,1
K,2
S,4
G,-1
T,-1
B,-1
U,-1
E,-1
P,1
M,-1
P,-1
M,1
O,-1
S,1
O,1
M,-1
S,1
U,1
J,1
S,-1
U,-1
M,1
U,1
F,1
A,2
G,1
A,-2
G,-1
E,1
F,-1
G,1
I,-1
E,2
S,1
U,-1
S,-1
I,1
E,-1
S,-3
E,-1
K,-1
S,-1
F,1
M,-1
A,2
G,-1
P,1
A,-2
S,-1
K,2
M,-1
S,1
F,-1
E,-1
G,-2
D,3
S,-1
M,1
C,-1
M,-1
D,-1
M,2
D,3
G,2
S,1
H,-2
F,1
A,1
D,-1
S,-1
B,-1
G,1
H,2
S,2
A,3
D,1
F,-1
A,2
S,1
B,1
E,2
S,3
E,-2
H,-1
E,3
B,-1
I,-2
S,-2
D,-1
A,-2
D,1
I,2
B,1
E,-3
B,-1
S,-1
E,2
A,2
S,-2
I,-2
E,1
A,-2
E,-1
H,1
G,-1
H,-2
D,-1
H,1
X,-1
H,1
G,1
S,3
A,1
H,-2
S,-3
E,-1
S,3
A,-1
S,-2
E,1
A,1
D,1
S,-2
E,1
H,1
N,-1
A,1
N,-1
L,1
A,-1
N,-1
S,1
A,-1
Q,-2
N,-1
R,-1
D,-1
H,1
N,1
T,-1
Q,1
N,1
H,-1
A,2
N,-3
U,-1
H,1
A,-1
U,1
C,1
D,1
E,-1
D,1
X,1
D,-1
Q,-2
S,1
U,-1
C,-1
A,-1
L,-1
S,3
U,1
H,-2
T,1
D,-1
G,-1
C,-1
H,1
G,1
L,1
S,1
A,2
H,1
C,1
S,-1
R,1
A,-2
G,-1
S,1
H,-1
L,-1
S,-2
D,1
R,-1
C,-1
S,1
O,1
J,1
X,6
