car,move
T,-4
G,-2
N,-1
G,1
K,-4
O,-1
T,2
O,1
M,1
J,-2
G,-1
U,-1
J,1
U,1
G,1
S,-1
T,2
K,3
T,-1
U,-1
J,1
G,-1
T,-4
K,-2
U,1
T,5
G,-1
K,2
G,-1
S,1
E,1
A,1
G,1
A,1
T,-2
K,-3
M,-1
S,-1
T,2
S,-3
M,1
K,-1
J,-1
A,-1
S,-1
J,-1
T,-2
Q,-1
E,1
Q,1
T,2
E,1
M,-1
F,-1
B,1
O,-1
B,-1
N,-1
T,-2
U,-2
O,1
N,2
B,2
F,-1
U,2
Q,-2
A,1
Q,1
F,-1
E,-2
B,-1
Q,-1
J,1
Q,2
J,1
A,-1
Q,-1
S,1
Q,-1
L,1
U,-2
L,1
B,-1
S,1
K,2
J,-1
M,-1
V,-2
K,-1
V,-1
N,-1
S,1
V,3
A,-1
N,-1
V,-1
K,2
V,-3
M,1
V,-3
O,-1
R,-2
J,1
V,2
R,1
A,1
K,-3
M,-1
T,-1
V,-2
S,-1
M,1
G,-1
S,1
L,-1
U,1
O,1
R,1
N,2
B,2
K,1
S,-1
G,1
U,4
A,-1
G,-1
A,1
K,-1
R,-2
V,1
S,1
U,-3
A,2
U,-2
S,-1
U,6
F,-1
G,1
V,1
U,-1
F,1
U,-1
S,1
G,-1
A,-2
F,-1
G,1
L,-1
V,-1
S,-2
R,1
V,1
B,-2
A,1
U,-4
V,-1
R,-2
F,1
S,2
N,2
U,1
A,-1
V,-1
N,-1
K,1
U,1
V,2
A,-1
V,-1
E,-1
N,1
X,-1
G,3
U,1
G,-2
S,-2
U,-1
B,1
V,1
B,-1
G,-1
V,-2
B,2
X,1
N,-1
U,-1
S,2
G,1
U,1
V,2
U,4
G,-1
U,-4
E,1
U,3
X,-1
U,1
T,1
N,1
G,-1
V,-2
S,-1
B,-2
T,-1
B,2
G,1
X,1
V,1
B,2
T,1
E,-1
K,1
B,-1
E,1
J,-1
A,3
V,2
K,-1
V,-1
N,-1
J,1
A,-3
B,-1
T,-1
G,-1
X,-1
E,-1
G,1
V,-1
E,1
S,-1
U,-5
B,-2
U,5
T,1
A,2
V,1
K,-1
A,-1
N,1
S,1
K,1
T,-1
V,-2
G,-1
S,1
V,1
B,2
T,1
B,-2
X,1
B,1
G,1
X,-1
K,1
J,-2
K,-2
X,-2
B,-1
G,-1
F,-1
V,1
A,1
X,2
V,-1
X,1
B,4
V,1
E,1
B,-1
G,1
N,-1
V,-1
U,-1
E,-1
G,-1
E,2
U,-1
F,2
K,1
B,-1
A,1
X,-2
U,1
V,1
B,-1
H,1
U,-4
B,1
A,-3
U,3
A,3
K,-1
U,2
H,1
I,-1
P,-2
O,1
A,-2
H,2
V,-2
F,1
U,-1
P,1
U,-3
K,1
X,2
B,-1
U,4
X,-1
U,-3
N,1
A,-1
P,-1
B,1
X,-1
H,-2
F,-2
E,-3
J,1
S,-1
B,-2
H,1
I,-2
C,2
B,1
H,1
I,-2
U,-1
I,2
C,2
P,1
G,1
D,-1
I,1
P,-3
S,-1
G,2
I,1
P,2
I,-1
P,1
S,1
P,-3
N,-1
B,-1
P,1
U,2
S,-1
V,1
G,-2
U,-4
P,-1
G,2
P,2
V,-1
G,-1
U,4
H,1
P,1
C,1
U,-1
G,1
I,1
C,-1
N,1
I,-1
S,1
G,-1
S,-1
I,1
U,-3
I,-2
C,-2
P,-3
H,-1
V,1
B,1
U,2
S,1
U,-1
P,1
B,-1
X,3
