car,move
G,-2
T,-4
Q,-1
T,-1
J,-1
U,-1
T,-1
K,-1
G,2
S,-1
G,-1
T,1
K,-1
Q,1
S,1
T,-1
K,1
S,-1
K,-2
J,1
U,-1
S,-1
G,-1
K,1
T,3
Q,-2
N,-1
T,1
J,-1
U,2
G,-1
Q,2
S,2
J,1
K,-1
T,1
U,-1
G,2
T,-2
N,1
T,-2
K,3
J,-2
G,1
E,3
A,1
T,-1
Q,-1
F,-1
A,1
B,1
A,-2
B,-1
A,1
B,1
U,1
T,1
A,1
U,-1
T,-1
U,1
A,-1
U,-1
F,-1
B,-1
U,1
Q,1
A,1
B,1
T,-1
F,1
T,1
U,-1
A,-1
Q,-1
T,1
Q,1
F,-1
A,-1
U,1
T,-1
U,-1
T,1
F,1
Q,-1
A,1
B,-1
Q,1
A,1
F,-1
Q,-1
U,1
T,-1
B,1
A,-2
F,1
Q,1
B,-1
U,-1
A,1
F,1
E,-2
J,2
T,2
K,-2
S,-2
K,-3
S,-1
T,-1
Q,-2
A,1
K,1
A,-2
K,1
T,2
U,1
Q,2
S,2
U,-2
K,-1
S,-1
T,2
S,-2
J,-1
U,2
S,4
T,-1
K,1
E,-1
G,-3
K,1
U,-1
K,-2
G,-1
S,-3
N,-1
G,2
U,1
N,1
G,2
T,2
G,-1
K,1
N,-1
G,-2
M,1
S,2
T,-2
U,-2
K,2
G,1
K,-1
G,1
K,-2
G,-2
K,2
G,1
J,1
T,-2
M,-1
T,-2
M,1
T,5
J,-1
U,1
S,1
U,1
S,-1
T,-1
M,-1
Q,-1
S,-1
U,-2
N,1
G,2
K,-1
Q,1
U,1
J,-1
G,-1
U,1
S,2
G,-2
U,-1
K,-1
S,-2
E,3
A,2
Q,-2
U,-1
L,2
A,-2
K,1
M,-1
E,-3
J,2
S,-1
E,1
J,-1
K,-1
N,-1
V,-2
E,-1
V,-1
R,-2
V,1
S,-1
O,-1
R,1
E,1
A,1
J,1
K,-1
R,1
V,2
J,-1
V,-2
K,1
J,1
T,-1
A,-1
M,-2
V,2
L,-2
O,1
L,1
N,1
U,1
L,-1
Q,2
U,1
A,1
V,-2
U,4
S,1
G,-1
Q,1
U,-2
Q,-2
U,-2
A,1
U,-1
Q,2
U,5
Q,-2
R,-1
U,-4
Q,1
N,-1
Q,-1
O,-1
Q,-1
U,-1
R,1
U,2
A,-1
Q,3
A,-1
E,-1
G,3
T,-1
Q,-3
S,-1
U,3
T,1
U,-1
S,1
V,2
T,-2
L,1
T,1
O,-1
T,-2
O,2
T,1
J,-1
N,1
T,-1
K,1
N,-1
G,-2
V,-3
U,1
N,1
R,-2
K,-1
G,-1
U,-6
R,1
U,2
G,4
V,1
T,1
K,1
T,-1
R,-1
E,1
R,1
U,-1
R,1
U,3
L,-1
R,-2
T,1
L,2
A,2
K,-2
A,-1
T,-1
L,-2
S,-1
U,-2
K,1
R,-1
U,2
A,1
R,3
U,-3
V,2
Q,1
S,1
Q,-1
L,1
J,1
S,-1
V,-1
J,-1
T,-1
V,-2
S,1
R,-1
L,-1
T,2
Q,1
U,3
A,-2
T,-1
K,1
A,2
K,-2
Q,-1
T,-1
U,-3
S,-1
K,1
T,2
U,-1
L,1
U,6
V,1
L,-1
R,-2
N,2
V,-1
A,-1
K,-1
S,-1
N,-1
U,-4
T,-1
X,-1
S,1
U,-1
V,1
S,1
T,1
N,1
X,-1
H,2
I,-1
K,1
C,1
U,2
P,-1
U,-1
C,-1
A,1
S,-1
A,-2
F,1
U,-1
F,2
W,-1
F,-3
A,1
U,2
W,1
O,1
H,1
K,-1
N,-1
H,2
F,1
U,1
X,1
F,2
O,-1
S,-1
T,-1
P,1
X,-1
J,-1
C,1
B,1
A,5
X,1
E,-1
X,-1
E,2
B,-1
I,1
C,1
E,-1
B,1
A,-4
C,1
A,2
E,1
T,-1
E,-2
G,-2
T,1
G,-1
E,4
F,-1
G,1
U,-1
T,1
A,-2
T,-1
U,1
G,2
U,-4
T,-1
N,1
E,-1
C,1
G,1
U,2
D,-1
A,2
D,1
E,-1
D,-1
N,-1
D,1
T,2
E,1
F,1
A,-1
D,-1
G,-1
E,-2
N,1
E,1
A,3
G,1
U,-1
B,-1
F,-2
T,-2
F,-1
D,1
U,-1
E,1
G,-1
F,-2
D,-1
I,-1
F,3
E,1
F,-2
G,-3
P,-1
B,2
P,1
D,-2
N,-1
F,-1
D,-1
A,-4
D,4
T,1
P,-2
D,-5
G,2
U,1
A,3
D,1
U,2
G,-2
A,1
U,-2
P,2
A,-2
B,-1
U,1
A,1
G,1
A,-4
B,-1
D,-1
B,1
U,1
P,-2
B,-1
I,-1
F,4
P,1
O,1
B,1
U,-1
A,4
T,1
D,1
T,-1
F,1
A,-2
D,-1
A,1
I,1
G,-1
A,1
O,-1
G,3
D,1
A,1
G,-3
A,-3
E,-2
D,-1
A,2
O,1
A,-2
U,1
T,-1
E,1
D,1
F,-1
T,1
A,2
D,-1
U,1
D,1
O,-1
A,1
O,1
A,-1
U,-3
P,-1
U,-1
H,-1
B,1
A,-1
P,1
A,-1
U,1
A,-1
D,3
U,2
H,1
U,-1
D,-1
E,-1
N,1
H,-1
P,-2
A,3
U,1
D,-2
H,1
E,1
P,2
E,-1
P,-3
N,-1
U,1
E,2
A,-4
E,-2
U,-2
D,2
C,1
N,1
I,1
D,-3
X,2
B,1
N,-1
A,1
E,1
B,-1
U,1
D,2
N,1
D,-1
B,-1
U,-3
V,-2
U,1
N,-1
U,3
E,1
I,-1
T,-1
V,1
G,1
I,-1
A,2
V,-1
U,-4
D,-1
I,1
X,-1
I,1
U,3
I,-2
G,-1
A,-1
X,2
