car,move
G,-4
E,1
A,2
K,-1
N,-1
M,1
G,1
A,-1
K,-3
M,-1
S,-4
K,-1
M,1
S,-1
J,-2
E,2
F,-1
M,-1
N,1
T,-2
U,-2
A,1
B,2
F,-2
E,-2
Q,-1
A,-1
B,-1
J,2
Q,-1
U,2
B,-1
J,-1
L,1
S,2
K,2
A,-1
K,-1
U,-2
L,1
M,-1
N,-2
O,-1
S,1
K,2
V,-1
A,1
V,-4
J,1
M,1
R,-1
K,-3
M,-1
S,-1
T,-1
V,-2
G,-1
M,1
L,-1
O,1
S,1
K,1
N,2
B,2
R,1
U,1
K,-1
F,-1
R,-2
S,-1
U,4
G,1
L,-1
S,1
U,1
V,1
A,1
B,-2
R,-1
U,-2
V,1
F,1
K,1
S,-2
U,-4
V,-1
A,-2
B,2
N,1
S,2
U,2
E,-1
N,1
S,-2
V,-1
X,-1
E,1
N,-1
S,2
U,3
V,2
G,-1
S,-1
U,1
N,1
X,1
G,1
N,-1
T,1
V,-2
X,-1
S,-1
T,-1
U,-5
V,2
X,1
A,1
B,-2
K,-1
V,-1
X,-1
T,1
K,1
U,5
N,1
V,1
K,-1
S,1
G,-1
T,-1
V,-2
S,1
T,1
J,-2
V,1
X,-2
A,1
F,-1
V,1
X,3
B,3
B,-1
G,1
N,-1
U,-1
V,-1
A,1
E,2
F,2
G,-1
U,-1
A,-2
U,2
V,1
X,-2
H,2
I,-1
K,1
P,-1
O,1
H,2
B,-1
U,-4
V,-2
F,1
X,2
I,-2
C,2
D,-1
P,-2
X,1
