car,move
AH,2
AQ,-1
R,1
AQ,-1
M,1
R,1
AR,1
AK,1
AH,-1
K,-1
AD,1
AH,1
AQ,1
A,-1
AQ,1
C,-1
AK,-1
C,1
AD,-1
G,1
AG,1
U,-1
AA,2
R,-1
P,1
AK,1
AA,-2
A,2
AE,-1
L,-1
AG,-1
AC,1
AK,-1
P,-1
J,-3
AI,-2
AC,-2
A,-3
AQ,-1
AC,2
U,1
AC,-1
R,1
U,-1
AK,1
Y,1
R,-1
AI,-1
P,1
J,-1
AC,-1
A,2
AJ,-1
B,-1
L,1
V,1
J,1
AQ,1
G,-1
AI,3
M,-1
K,1
M,1
I,1
AC,1
P,-1
K,-1
B,1
I,-1
A,-2
AK,-1
AJ,1
P,2
AA,1
G,1
AH,-1
V,-1
P,-2
K,1
AA,-1
AG,1
G,-1
AA,2
W,1
K,-1
P,1
N,-1
H,1
AJ,-1
X,1
AC,1
AP,-1
AR,-1
AH,1
AC,-1
K,1
AA,-4
X,-1
W,-1
J,-1
AA,3
AC,1
AI,-1
P,-1
AC,-1
P,1
Y,-1
N,1
U,2
J,1
H,-1
AI,-1
AA,-1
U,-2
J,-1
AA,2
E,1
H,1
AA,-1
K,-1
F,1
AI,1
U,4
H,1
Y,1
AR,1
A,1
F,-1
B,-1
A,-1
W,1
AR,-1
R,1
A,2
X,1
R,-1
P,1
AA,-1
AI,-1
H,-2
I,1
AA,-1
J,1
AP,1
N,1
AC,-1
L,-1
U,-1
AI,1
B,3
U,1
L,1
A,-2
X,-1
E,-1
B,-1
AB,1
N,-1
K,1
B,-1
AA,-1
AI,-2
F,-1
AB,-1
AP,-1
A,2
AA,2
B,1
M,-1
AO,1
P,-2
AG,-1
AC,2
M,1
AO,-1
H,-1
AA,1
AI,1
B,1
H,1
AO,1
A,-2
AC,-1
AI,1
U,-1
H,-1
AI,-2
P,1
AA,-2
M,-1
AA,1
B,-3
N,1
B,1
J,-1
H,1
N,1
AA,1
AQ,-1
W,-1
M,2
U,1
W,1
P,-1
U,-1
B,1
AI,2
H,-1
R,1
AR,1
AO,-1
B,-2
I,-1
U,1
W,-1
AC,1
R,-1
H,3
AI,-2
F,3
E,3
AC,-1
AA,-1
AR,-1
W,1
E,-3
AO,2
B,1
P,2
AA,1
R,1
AI,2
R,-1
E,2
AI,-2
P,-1
R,1
AQ,-1
AO,-2
X,1
A,2
AA,-5
U,-1
AC,-1
AO,3
E,-2
O,-1
B,-1
R,-2
U,1
AB,1
M,-2
AI,2
R,1
A,-1
AO,-2
X,-1
N,-2
A,-1
U,-1
P,1
E,1
AA,4
X,1
O,1
T,-2
AQ,1
N,1
K,-1
AA,-1
O,-1
AQ,1
F,-1
B,1
T,1
E,-1
U,1
A,2
T,1
L,-1
AR,1
A,-2
H,-1
T,-1
G,2
N,1
G,-1
AA,1
B,-1
AQ,-2
A,2
AI,-2
G,1
C,-1
P,-2
U,-1
AB,-1
AI,2
R,-1
G,-2
J,3
Q,-1
AC,1
G,1
AF,-1
AG,-1
R,1
Q,1
AO,1
AK,1
G,-1
AP,-1
N,-1
J,-1
E,1
J,-1
N,-1
AP,1
T,-1
X,-1
AO,-2
AG,1
R,-1
AI,-2
T,2
AA,1
X,1
AQ,2
N,1
AP,1
P,2
AI,2
U,1
AA,-2
AF,1
B,1
AC,2
AP,-1
AC,-2
AA,1
N,-1
AA,-1
AC,2
Q,-1
X,-1
U,-1
AA,2
T,-2
X,-1
R,1
AF,-1
L,1
N,1
B,-1
T,2
M,1
AA,-1
U,1
E,-1
N,-1
AB,1
AI,-2
B,1
AG,1
G,1
K,1
R,-1
AI,2
K,-1
U,-1
L,-1
G,-1
W,-1
X,1
J,-1
G,1
AP,1
AA,-1
AB,-1
Q,1
M,-1
V,1
C,1
AB,1
L,1
AI,-2
G,-1
V,-1
B,-1
T,-1
AF,1
H,1
W,1
T,-1
E,1
X,2
L,-1
AA,2
R,1
P,-2
X,5
N,1
F,1
AI,2
P,1
E,-1
X,-1
G,2
U,1
X,-1
T,1
G,-2
U,-1
A,-2
AB,-1
T,-1
AP,-1
P,1
W,-1
AO,1
E,1
X,1
B,1
V,1
P,-2
N,1
F,-1
O,1
E,1
AO,-1
AI,-1
AC,-1
F,1
E,-1
L,1
K,1
T,1
AA,1
E,2
N,-2
AK,-1
P,2
E,-3
K,-1
B,-1
E,2
AO,1
AC,-1
N,2
V,-1
F,-1
P,-1
N,-2
AK,1
K,1
N,2
P,1
H,-1
W,1
E,-1
AI,1
P,-2
B,1
E,-1
AI,-2
G,2
AC,2
AB,1
X,2
A,3
K,-1
N,-1
A,-1
R,-1
X,1
