car,move
AF,-1
G,-1
AN,-1
P,1
AA,-1
J,2
H,1
J,-1
AL,-1
AB,-1
AO,-1
P,1
AM,-1
AO,1
AJ,-1
AO,-1
H,-1
AC,-1
AG,1
AA,1
J,-1
AC,-1
L,1
H,1
AM,1
P,-1
L,-1
N,-1
AL,1
AP,-1
U,-1
P,-1
AP,1
AC,1
AA,-1
J,2
AH,1
AO,1
AP,-1
AL,-1
AP,1
AM,-1
AC,-2
AB,1
U,1
AE,-1
J,-2
AK,-1
AE,1
AP,-1
AB,-1
AK,1
N,1
AP,1
AJ,1
J,3
AC,1
AN,1
AA,4
G,1
AG,-2
AM,1
AH,-1
H,-1
AL,1
AQ,-1
G,-1
AG,1
AH,1
J,-3
AF,1
AC,2
L,1
AC,-3
AH,-1
AK,-1
G,1
AH,1
AQ,-1
AL,-1
AC,1
H,1
O,1
L,-1
P,1
AH,-1
D,1
A,-1
AQ,2
J,3
P,-1
AC,1
A,-4
AR,-1
A,4
AM,-1
J,-1
A,1
AQ,-1
AR,1
AC,-2
A,-6
J,1
AC,1
B,-6
J,-2
B,1
I,-1
B,3
AR,-1
J,1
H,1
A,1
H,-1
AC,-1
AH,1
P,1
AD,1
P,-1
AC,2
B,-2
A,1
H,1
J,-3
B,1
AQ,1
A,-1
AG,1
A,-1
B,-3
P,2
L,1
H,-2
AD,-1
H,1
AM,1
H,2
L,-1
AA,-5
B,2
AE,-1
A,1
G,-1
A,-1
H,-3
G,1
B,-2
AL,1
AA,4
AL,-1
B,4
L,1
K,1
A,1
AC,-2
AR,1
AC,2
AM,-1
A,-1
AE,1
AC,-2
AM,1
AC,1
AA,-3
AM,-1
H,2
AR,-1
AJ,-1
AC,1
H,-2
B,-1
P,-2
AC,-1
K,-1
B,1
J,1
AE,-1
AR,1
D,-1
AE,1
AR,-1
P,1
B,-1
H,1
AM,1
I,1
AC,-1
J,-1
AD,1
H,-2
A,1
AC,1
AM,-1
P,-1
AM,1
AP,-1
H,1
A,1
AO,1
O,-1
I,-1
AM,-1
H,1
J,1
L,-1
H,1
J,3
AG,-1
J,-3
A,-1
AQ,-1
AC,-1
H,-2
AC,1
A,-1
O,1
D,1
B,-2
L,1
AQ,-1
AC,-1
B,2
P,1
L,-1
A,1
J,-1
B,1
AO,1
L,1
J,1
H,1
AO,-2
A,3
AA,-1
AD,-1
AO,3
A,-2
AC,1
AH,-1
AC,-1
A,-1
AQ,1
A,2
B,-1
AB,1
A,-3
G,-1
B,1
AQ,-1
AB,-1
AO,-1
AM,1
AA,1
D,-1
L,-1
AH,1
F,3
P,1
E,2
L,1
B,-1
J,-1
AB,1
AQ,1
E,-1
H,1
AQ,-1
AD,1
AO,-2
B,1
AQ,1
P,-2
J,1
B,-1
N,-1
AQ,1
F,1
AD,-1
AH,-1
AM,-1
L,-1
J,1
AP,1
U,-1
P,1
J,-1
P,1
AB,-1
E,1
AQ,-2
D,1
U,1
AR,1
R,-1
J,1
P,-2
U,-1
C,1
D,-1
AC,1
R,-1
O,-1
AF,-1
J,2
AM,1
A,1
B,1
H,1
AR,-1
L,1
H,-1
AP,-1
AH,2
AG,-1
M,-1
AI,-1
A,-1
AE,-1
A,-1
AC,-1
AO,3
A,2
AG,1
AE,2
AC,1
AQ,1
AC,1
H,1
C,-1
X,-1
F,1
AO,-2
P,1
AI,-2
AA,1
AR,1
R,-1
AO,-1
AI,1
U,1
AR,-1
P,-1
F,-1
AI,-1
W,-1
AD,2
Y,-1
AQ,1
B,-1
AD,-1
AQ,-1
H,-1
AO,3
Q,-1
N,1
AD,1
Q,1
U,1
AO,-3
T,-2
AC,-1
C,1
AR,1
AP,1
AI,3
B,1
AH,-1
K,1
T,1
AL,1
R,1
AR,-1
AQ,1
AD,-2
K,-1
AP,-1
AG,1
AA,-1
AE,-1
AH,-1
T,1
AP,1
AC,1
R,-1
AF,1
AJ,1
AH,1
AC,-2
R,1
AH,-1
AR,1
E,1
AF,-1
A,-1
AL,-1
AM,-1
E,-1
AC,2
AG,-1
H,1
AC,-2
AB,1
AF,1
T,-2
AQ,-1
AR,-1
O,1
AB,-1
A,1
F,-1
K,1
R,-1
H,-1
AH,1
AM,1
AC,1
T,2
AQ,1
F,-1
AH,-1
F,1
H,-1
