car,move
I,-1
J,1
T,-1
V,1
P,1
D,1
B,3
A,2
P,-1
W,-1
M,1
T,1
H,-1
A,-1
B,-2
I,1
M,-1
W,1
U,1
V,-1
H,1
K,1
T,-1
W,-1
M,1
G,1
I,-2
F,1
V,1
Y,-1
M,-1
T,1
F,-1
G,-2
I,2
V,-2
Y,1
B,2
D,-1
H,3
T,-1
N,-1
J,-1
G,1
V,1
Y,-1
A,-1
O,-2
K,1
L,-1
Z,-1
Y,5
U,-1
Y,-1
T,1
A,1
V,-2
G,1
C,-1
M,-1
N,-2
U,2
Z,-1
X,2
G,1
Q,-2
R,-1
S,1
Y,-3
T,1
K,2
Y,2
Q,1
P,-1
R,1
A,-1
G,-1
Q,-2
W,-1
Y,3
K,1
T,-3
Q,1
O,-1
S,-1
U,-1
V,2
Z,1
X,5
