car,move
K,1
I,-1
G,1
W,-1
J,1
U,1
G,-1
J,-1
H,-1
M,1
I,-1
V,1
M,-1
J,1
I,-2
M,1
U,-1
I,3
M,-1
Y,-1
G,1
I,-2
F,1
C,-1
Q,1
V,-2
C,1
H,1
I,1
V,2
C,-1
M,1
J,-1
V,-1
Q,-1
H,-1
N,-2
M,-1
V,-1
J,1
N,1
O,-1
I,-1
V,2
O,1
Q,1
U,1
M,1
N,-1
O,-1
Y,1
N,1
F,-1
O,1
V,-1
Q,-1
V,1
W,1
P,1
O,1
J,1
I,3
N,1
T,-1
H,3
C,1
H,-3
U,-1
H,3
C,-1
H,-2
K,-1
H,-1
T,1
D,2
E,-1
B,1
I,-1
E,-1
K,-2
I,1
T,-1
I,-2
U,1
M,-1
W,-1
Y,-1
N,-1
Y,1
I,2
U,-1
I,-1
K,2
E,2
B,2
U,1
C,2
K,1
C,-1
A,1
N,1
K,-1
D,-2
A,1
C,-1
J,-1
I,1
N,-2
A,-1
J,-1
Z,-2
A,1
U,-1
Y,3
A,-1
Y,-4
I,-1
Z,1
Y,4
M,1
I,1
T,1
Y,1
A,-1
Y,-3
I,-1
K,1
Q,1
Y,2
I,-1
M,-1
I,2
U,1
Q,-1
Y,-2
Q,2
R,-1
M,1
N,2
R,1
Y,3
C,1
Y,-1
I,-1
U,-1
H,1
Z,-1
K,-1
U,1
K,1
Y,1
T,2
Y,-2
Q,-1
I,1
K,-1
T,-2
Z,1
A,2
K,1
U,-1
C,-1
I,-2
H,-1
I,2
J,1
I,-2
U,1
M,-1
Q,-1
Y,-1
I,1
M,1
Y,1
I,-2
M,-1
H,1
Y,2
H,-1
T,-1
I,2
H,1
C,1
Y,-3
K,-1
G,-2
W,1
G,2
J,-1
A,-1
Z,-1
T,3
Q,1
W,-1
H,-1
Y,3
C,-1
A,1
Y,-5
K,1
N,-1
T,-1
Q,-1
T,-2
N,-1
A,-1
T,3
I,-1
Y,1
F,1
Y,1
B,2
W,1
Q,2
B,-1
M,1
Q,-2
N,1
A,1
C,1
Q,1
A,-2
W,-1
Q,-1
M,-1
Y,-1
C,-1
N,-2
A,1
M,1
A,-1
Y,2
N,2
M,-1
W,1
Y,2
M,1
Y,-4
B,1
Y,4
A,2
Y,-2
A,-1
M,-1
Y,-2
N,-1
T,-1
B,-1
A,-1
N,2
M,1
T,1
Q,1
N,-3
Y,4
T,-1
N,3
Y,-4
A,2
H,1
B,1
T,-1
H,-1
M,-1
Y,1
