car,move
B,1
K,-1
M,2
E,1
A,1
G,-1
B,-1
S,-1
M,-1
T,-1
B,1
U,-1
K,1
G,1
S,-4
M,-1
U,1
S,1
T,1
M,2
S,4
B,-1
S,-3
T,-1
U,-1
M,-1
S,-3
P,1
S,3
H,1
A,-1
B,1
I,-1
M,-1
S,-3
B,-1
H,-1
M,2
S,5
A,1
M,-1
S,-2
P,-1
S,2
U,1
B,1
S,-1
I,1
U,-1
P,1
B,-1
M,1
H,1
E,-1
A,-1
G,-1
B,1
A,-1
F,-1
H,-1
K,1
S,1
G,-2
D,5
G,1
E,1
C,-1
H,-2
B,1
S,-2
B,-1
H,2
C,-1
H,-2
D,-1
G,3
E,1
G,-1
E,-2
G,-1
F,1
A,4
F,-1
G,-1
S,2
A,1
S,-2
C,1
S,2
G,-1
D,-1
S,-1
D,1
G,1
B,-1
A,-1
G,1
C,-1
J,-1
S,-1
D,1
H,1
G,1
D,-1
E,1
D,1
C,1
S,-2
I,-1
S,2
D,-1
S,-1
H,-1
I,-1
S,-1
X,-1
G,1
S,4
G,-2
D,1
S,-1
C,-1
A,1
J,1
E,1
N,-1
S,1
N,1
G,1
X,1
S,-3
I,2
H,1
C,1
S,3
B,2
S,-6
B,-1
E,-2
G,-1
H,1
C,1
E,1
G,1
S,5
G,-2
A,-1
C,-2
A,1
E,-1
S,1
H,-1
E,1
G,1
E,1
B,-1
E,-2
A,1
G,-1
H,1
A,-2
G,-1
C,2
G,1
A,2
B,1
C,-2
B,-1
G,1
F,1
A,-4
B,1
A,4
C,2
F,-1
G,1
S,-5
A,-1
C,-1
J,-1
A,-1
G,-1
E,1
G,1
S,2
H,-2
A,1
B,-1
C,-1
J,1
S,3
C,1
S,-3
A,-1
G,1
D,-2
I,-1
J,-1
A,1
D,-1
I,1
E,-1
K,-3
M,-2
C,-1
E,1
K,1
B,2
K,2
O,-1
D,1
M,2
S,3
D,2
B,-1
D,-2
B,-1
I,-2
D,-1
X,-1
S,-2
O,1
D,3
G,-1
H,1
N,-1
S,2
H,-1
C,1
H,2
J,1
E,1
H,-2
E,1
N,-4
S,-1
E,-2
A,-1
E,1
H,1
S,1
D,-1
X,1
E,-1
S,-2
G,-2
A,1
S,2
D,1
I,2
S,-2
I,-2
G,1
S,2
I,1
J,-1
B,1
A,1
L,1
I,2
H,1
A,-2
C,1
D,-1
I,-2
S,-2
Q,-2
J,1
A,1
G,1
E,1
C,-1
A,1
S,-4
B,-1
Q,2
E,1
I,2
X,-1
D,1
E,-1
S,2
C,-1
S,4
A,-2
E,-2
B,1
E,2
S,-4
X,1
I,-2
B,-1
C,1
Q,-1
S,3
E,1
B,1
D,-1
Q,-1
S,1
C,1
B,-1
N,1
D,1
C,-1
I,-1
A,1
C,1
X,-1
Q,2
C,-1
H,-1
Q,-1
S,-1
R,-1
O,1
J,1
X,7
