car,move
V,-1
W,-1
J,1
U,1
V,2
J,-1
V,-2
I,-1
H,-1
J,1
G,1
V,1
G,-1
D,1
M,1
W,1
K,1
D,-1
I,1
H,2
V,-1
M,-2
H,2
D,1
V,2
P,1
B,1
G,1
X,1
C,-1
N,-1
O,-1
P,-1
W,-2
T,-2
T,1
O,1
V,-1
U,-1
T,1
O,-2
V,1
J,1
Q,1
D,1
N,-1
V,-2
W,1
P,-1
U,1
E,-1
G,1
A,1
U,1
Y,-1
A,-1
B,1
Q,-1
U,-1
Y,1
A,2
V,2
G,-1
Y,-1
N,1
B,1
P,1
N,-1
X,1
Q,-1
U,-1
Q,2
W,-1
Y,1
U,1
W,2
P,1
O,-2
E,1
K,1
O,2
L,-1
A,-2
Q,-3
B,-2
P,-1
Q,2
V,-2
X,-2
B,2
N,1
E,-2
Q,1
U,1
A,3
X,1
A,-2
U,-1
O,-1
V,2
W,-1
G,1
E,2
A,1
N,-1
A,-1
O,1
W,1
A,-1
V,-3
W,-1
V,2
D,-2
V,-2
U,-1
J,-2
G,-1
U,2
S,1
X,1
Q,-2
T,-1
A,1
Q,-1
K,1
R,-1
A,1
R,1
K,1
O,-1
W,1
X,3
J,1
H,-1
I,-1
V,-2
X,2
