car,move
G,-3
K,-4
S,-1
T,-1
U,-2
G,1
K,3
N,-1
T,-5
U,1
J,-1
N,1
Q,-1
T,1
U,-1
K,-2
J,-1
G,2
J,2
S,-2
Q,-1
J,-1
L,2
J,1
K,-1
M,-1
T,3
G,-3
N,-1
V,-2
G,1
N,1
R,-2
S,-1
T,-1
M,-1
G,-1
R,2
V,2
M,2
G,1
N,-1
L,-1
G,1
M,1
S,1
T,-3
G,-2
L,1
G,1
T,4
J,-1
G,-1
M,-2
S,1
K,2
V,-3
R,-2
K,-1
E,1
O,-2
A,2
K,-1
V,-1
A,-1
J,-1
E,2
O,1
M,1
A,-1
F,-2
R,2
K,1
F,-1
R,-1
L,-2
A,1
F,1
Q,2
A,-1
S,1
U,3
F,-1
U,2
V,-3
U,-1
T,1
E,-3
K,-1
S,-1
U,1
V,4
V,-1
B,1
E,3
U,1
F,2
U,-6
A,3
F,-1
T,-1
U,4
F,-1
U,-2
A,-3
B,-1
T,2
K,1
O,1
U,3
M,1
T,-2
E,1
V,1
F,1
U,1
Q,-1
F,-1
K,-1
A,2
V,-2
R,1
Q,-1
G,-1
B,1
U,-1
A,-1
E,-1
V,-2
U,1
G,1
R,-3
A,-1
B,-1
G,-1
M,-1
N,-1
E,-1
M,1
U,-4
V,2
A,2
N,1
E,1
V,1
M,-1
N,2
X,-1
U,4
V,1
U,-1
G,1
B,2
X,1
U,-5
A,-2
U,6
N,1
V,-3
A,3
B,2
G,-1
B,-3
V,2
F,1
N,-1
K,-1
V,-2
A,-2
N,-2
R,1
G,1
V,1
U,-6
G,-1
B,-1
R,-1
N,2
F,-2
V,-2
F,4
U,1
N,-2
U,2
G,1
U,3
N,3
E,-2
K,2
J,1
N,-3
O,-1
K,1
U,-4
K,-3
R,1
K,2
J,-1
O,1
J,2
M,1
S,-1
R,2
Q,3
S,2
T,2
U,3
J,-1
Q,-1
S,1
T,-1
U,-2
A,-1
E,-1
J,1
G,2
M,-1
T,-1
U,2
G,-1
T,2
J,-1
G,-1
E,1
K,-1
Q,1
E,-1
J,1
K,1
T,-3
S,-2
Q,-3
R,-3
T,1
J,-1
J,-1
N,2
U,-3
X,-1
N,1
E,3
K,-1
E,-2
U,-1
E,2
X,1
E,-2
N,-1
X,-1
U,2
X,-1
G,-1
H,2
U,1
A,1
F,3
B,2
C,2
K,-1
V,1
A,2
D,-2
G,1
U,1
V,1
A,-1
G,-1
J,1
U,-5
A,-1
K,1
S,-1
N,1
A,-1
U,2
E,-1
D,-1
N,-1
U,2
C,-1
U,2
I,-1
U,-2
P,-1
U,-1
G,2
K,1
N,1
G,-1
U,-2
K,-1
S,1
K,2
O,1
K,-2
U,-1
G,1
H,1
S,-1
U,1
C,-1
F,-1
P,-2
X,3
